Model,Scenario,Region,Variable,Unit,Year,Value
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Nuclear,EJ/yr,2040,0.2280025756
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Nuclear,EJ/yr,2040,6.627410878
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Oil,EJ/yr,2040,0.2831138175
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Oil,EJ/yr,2040,0.01697809262
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Oil,EJ/yr,2040,0.2313114236
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Oil,EJ/yr,2040,0.01819648234
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Oil,EJ/yr,2040,0
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Oil,EJ/yr,2040,0.01662781901
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Solar,EJ/yr,2040,2.47778861
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Solar,EJ/yr,2040,1.405932426
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Solar,EJ/yr,2040,0.3034712894
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Solar,EJ/yr,2040,0.0002207799921
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Solar,EJ/yr,2040,0.009108752036
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Solar,EJ/yr,2040,0.7590553631
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Wind,EJ/yr,2040,21.52050398
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Wind,EJ/yr,2040,9.46516327
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Wind,EJ/yr,2040,1.642031541
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Wind,EJ/yr,2040,1.492649835
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Wind,EJ/yr,2040,0.3515136086
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5OECD90+EU,Wind,EJ/yr,2040,8.569145726
MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2050,22.80660113
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5ASIA,Coal,EJ/yr,2050,20.53245666
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5MAF,Coal,EJ/yr,2050,1.817922464
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5LAM,Coal,EJ/yr,2050,0.009731161812
MESSAGEix-GLOBIOM_1.0,NPi_v3,R5REF,Coal,EJ/yr,2050,0.1051545173
