Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,0.0006,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2030,43.8198,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,4.5837,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,7.9245,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,0.3407,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,0.0838,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,10.8768,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,4.447,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,8.0907,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,4.9228,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,0.2452,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,0.0001,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5MAF,EJ/yr,2030,3.0601,Residential and Commercial,Liquids
